Gene Name,Canonical Transcript,GeVIR %,LOEUF %,VIRLoF %,GeVIR AD,LOEUF AD,VIRLoF AD,GeVIR AR,LOEUF AR,VIRLoF AR
ARF1,ENST00000541182,0.18,20.54,7.71,4.52,1.43,2.68,0.16,0.78,0.33
GNAO1,ENST00000262494,0.18,9.71,2.54,4.52,2.45,4.01,0.16,0.5,0.23
SRSF3,ENST00000373715,0.19,12.57,3.72,4.52,2.1,3.8,0.16,0.58,0.23
SMNDC1,ENST00000369603,0.19,26.68,11.08,4.51,1.18,2.2,0.16,1.12,0.45
CREB1,ENST00000432329,0.2,7.58,1.77,4.51,2.51,4.22,0.16,0.42,0.23
SCN8A,ENST00000354534,0.2,1.58,0.12,4.5,3.87,4.87,0.16,0.26,0.18
U2AF2,ENST00000308924,0.21,2.47,0.27,4.5,3.57,4.85,0.16,0.29,0.18
UBE2K,ENST00000261427,0.21,8.51,2.1,4.49,2.52,4.1,0.16,0.46,0.23
RBX1,ENST00000216225,0.22,14.32,4.59,4.49,2.05,3.7,0.16,0.61,0.25
UBE2G1,ENST00000396981,0.22,11.81,3.46,4.48,2.09,3.85,0.16,0.57,0.23
OGT,ENST00000373719,0.23,0.58,0.03,4.48,4.15,4.89,0.16,0.28,0.15
NRF1,ENST00000393232,0.23,4.93,0.91,4.5,3.26,4.47,0.16,0.31,0.21
ACTC1,ENST00000290378,0.24,22.62,8.78,4.5,1.47,2.49,0.16,0.86,0.37
YWHAZ,ENST00000395957,0.24,15.38,5.07,4.49,1.9,3.64,0.17,0.68,0.25
DLX6,ENST00000518156,0.25,17.68,6.24,4.49,1.56,3.15,0.17,0.73,0.32
DDX39B,ENST00000396172,0.25,6.78,1.51,4.48,2.67,4.34,0.17,0.37,0.22
RAB14,ENST00000373840,0.26,6.46,1.39,4.48,2.62,4.36,0.17,0.37,0.23
UBE2L3,ENST00000458578,0.26,25.58,10.49,4.47,1.25,2.18,0.17,1.05,0.43
H3F3B,ENST00000254810,0.27,28.95,12.17,4.47,1.15,2.29,0.17,1.31,0.49
CAMK2A,ENST00000398376,0.27,9.48,2.48,4.46,2.48,4.03,0.17,0.49,0.23
GRIA2,ENST00000296526,0.28,8.95,2.33,4.46,2.44,4.02,0.17,0.47,0.22
SMARCE1,ENST00000348513,0.28,5.4,1.06,4.46,3.06,4.43,0.17,0.33,0.21
ZNF706,ENST00000520347,0.29,38.24,17.11,4.45,0.76,1.64,0.17,1.7,0.73
SRF,ENST00000265354,0.29,12.56,3.77,4.45,2.09,3.78,0.17,0.58,0.24
TUBB2B,ENST00000259818,0.3,7.28,1.7,4.44,2.58,4.25,0.17,0.37,0.23
FOXG1,ENST00000382535,0.3,13.88,4.36,4.44,2.05,3.73,0.17,0.6,0.24
PSMC1,ENST00000261303,0.31,2.44,0.28,4.43,3.59,4.86,0.17,0.29,0.18
TBR1,ENST00000389554,0.32,6.34,1.36,4.43,2.69,4.32,0.17,0.37,0.23
NEDD8,ENST00000250495,0.32,23.11,9.13,4.43,1.47,2.35,0.17,0.91,0.38
BATF,ENST00000286639,0.33,22.39,8.7,4.42,1.51,2.51,0.17,0.82,0.37
POLR2A,ENST00000322644,0.33,3.52,0.55,4.42,3.39,4.72,0.17,0.29,0.17
RAP1B,ENST00000250559,0.34,17.63,6.3,4.41,1.58,3.13,0.17,0.73,0.32
SENP3,ENST00000429205,0.34,14.09,4.5,4.41,2.07,3.7,0.17,0.59,0.25
HNRNPC,ENST00000320084,0.35,11.56,3.39,4.4,2.1,3.88,0.17,0.57,0.23
RQCD1,ENST00000273064,0.35,10.46,2.84,4.4,2.23,4.02,0.17,0.5,0.23
UBE2A,ENST00000371558,0.36,28.35,11.95,4.4,1.16,2.28,0.16,1.22,0.46
GRIN1,ENST00000371553,0.36,12.09,3.61,4.42,2.06,3.84,0.16,0.57,0.23
EIF4A2,ENST00000323963,0.37,6.31,1.37,4.41,2.69,4.33,0.16,0.36,0.23
KCND3,ENST00000315987,0.37,10.21,2.75,4.41,2.29,4.04,0.16,0.49,0.23
EIS2,ENST00000561208,0.38,5.06,0.97,4.4,3.21,4.45,0.16,0.32,0.21
UBE2R2,ENST00000263228,0.38,9.05,2.39,4.4,2.43,4.04,0.16,0.47,0.23
PRPF8,ENST00000572621,0.39,4.39,0.81,4.39,3.26,4.54,0.16,0.32,0.21
RPS18,ENST00000439602,0.39,9.45,2.51,4.39,2.48,4.01,0.16,0.49,0.24
GNAQ,ENST00000286548,0.4,7.47,1.81,4.39,2.54,4.22,0.16,0.4,0.23
UBE2E3,ENST00000410062,0.4,33.66,14.81,4.38,0.84,1.95,0.16,1.55,0.62
CSNK1A1,ENST00000515768,0.41,6.67,1.54,4.38,2.67,4.31,0.18,0.37,0.22
SF3B4,ENST00000271628,0.41,6.61,1.52,4.37,2.64,4.33,0.17,0.37,0.22
SRSF7,ENST00000313117,0.42,12.03,3.62,4.37,2.06,3.85,0.17,0.57,0.23
ZEB2,ENST00000558170,0.42,1.34,0.11,4.36,3.97,4.88,0.17,0.27,0.17
KCNC1,ENST00000265969,0.43,9.93,2.68,4.38,2.32,4.01,0.17,0.5,0.23
SMC1A,ENST00000322213,0.43,0.28,0.02,4.38,4.12,4.9,0.17,0.29,0.15
ARL8A,ENST00000272217,0.44,16.84,5.9,4.4,1.66,3.3,0.17,0.71,0.29
SIAH1,ENST00000356721,0.44,24.04,9.75,4.39,1.38,2.26,0.17,0.96,0.4
HMGA1,ENST00000447654,0.45,26.14,10.92,4.39,1.19,2.21,0.17,1.08,0.44
PCBP2,ENST00000359462,0.45,7.9,1.96,4.39,2.53,4.13,0.17,0.44,0.24
PSMC2,ENST00000435765,0.46,1.66,0.18,4.38,3.84,4.89,0.17,0.26,0.18
KCTD9,ENST00000221200,0.46,23.38,9.38,4.38,1.4,2.29,0.17,0.93,0.39
ZMAT2,ENST00000274712,0.47,9.3,2.48,4.4,2.48,4.03,0.17,0.47,0.24
NKAP,ENST00000371410,0.48,4.04,0.75,4.39,3.25,4.58,0.17,0.32,0.2
TUBB4B,ENST00000340384,0.48,20.61,7.88,4.41,1.46,2.63,0.17,0.76,0.35
TRA2B,ENST00000453386,0.49,8.63,2.22,4.41,2.49,4.07,0.18,0.47,0.23
GRIN2B,ENST00000609686,0.49,0.23,0.02,4.4,4.11,4.89,0.18,0.28,0.15
SPIN1,ENST00000375859,0.5,10.83,3.11,4.4,2.14,3.93,0.18,0.5,0.24
AP2M1,ENST00000292807,0.5,5.23,1.07,4.4,3.15,4.42,0.18,0.32,0.21
KCNB1,ENST00000371741,0.51,2.33,0.31,4.39,3.63,4.84,0.18,0.29,0.18
SMC3,ENST00000361804,0.51,0.03,0.01,4.39,4.1,4.9,0.19,0.26,0.15
RBPJ,ENST00000342295,0.52,5.76,1.24,4.38,2.88,4.4,0.19,0.34,0.21
RAS,ENST00000289104,0.52,16.48,5.75,4.38,1.8,3.3,0.19,0.69,0.28
PSMA6,ENST00000261479,0.53,7.42,1.83,4.4,2.54,4.21,0.19,0.39,0.24
BTBD10,ENST00000278174,0.53,32.68,14.32,4.39,0.85,2,0.19,1.45,0.6
KPNB1,ENST00000290158,0.54,0.9,0.08,4.39,4.08,4.86,0.19,0.29,0.15
EBF3,ENST00000368648,0.54,2.99,0.5,4.39,3.47,4.72,0.19,0.28,0.17
KIF2A,ENST00000407818,0.55,3.65,0.63,4.38,3.35,4.65,0.19,0.31,0.19
HNRNPA0,ENST00000314940,0.55,17.33,6.2,4.38,1.61,3.16,0.19,0.75,0.32
CLTC,ENST00000269122,0.56,0.8,0.07,4.4,4.11,4.85,0.19,0.27,0.15
PIK3CA,ENST00000263967,0.56,1.81,0.23,4.39,3.79,4.84,0.19,0.26,0.18
KCNJ3,ENST00000295101,0.57,3.93,0.74,4.39,3.29,4.58,0.19,0.31,0.2
ST7,ENST00000265437,0.57,9.7,2.63,4.38,2.45,4.02,0.19,0.5,0.23
VAMP2,ENST00000316509,0.58,20.34,7.81,4.38,1.44,2.62,0.19,0.74,0.34
HSD17B10,ENST00000168216,0.58,19.28,7.28,4.38,1.47,2.8,0.19,0.76,0.34
KRAS,ENST00000256078,0.59,67.03,32.02,4.37,0.54,0.9,0.19,1.24,1.59
DHX9,ENST00000367549,0.59,1.3,0.13,4.37,3.98,4.86,0.19,0.27,0.18
CHD4,ENST00000357008,0.6,2.74,0.43,4.36,3.53,4.75,0.19,0.29,0.17
PSMC6,ENST00000445930,0.6,8.64,2.29,4.36,2.49,4.04,0.19,0.47,0.22
SATB2,ENST00000417098,0.61,0.88,0.09,4.36,4.09,4.88,0.19,0.29,0.15
CELF2,ENST00000450189,0.61,1.43,0.15,4.35,3.94,4.84,0.19,0.27,0.18
RPS26,ENST00000356464,0.62,26.1,10.99,4.35,1.2,2.21,0.19,1.09,0.44
FBXO11,ENST00000403359,0.62,1.03,0.1,4.34,4.05,4.89,0.19,0.28,0.16
HNRNPH1,ENST00000356731,0.63,1.35,0.14,4.34,3.97,4.85,0.19,0.27,0.18
STAT1,ENST00000361099,0.64,4.73,0.96,4.34,3.28,4.46,0.19,0.31,0.21
HDAC2,ENST00000519065,0.64,1.21,0.12,4.35,4.02,4.87,0.19,0.27,0.18
NR2F1,ENST00000327111,0.65,5.85,1.29,4.35,2.85,4.37,0.19,0.35,0.21
EIF1AX,ENST00000379607,0.65,18.33,6.83,4.35,1.51,2.95,0.19,0.75,0.33
PSMC5,ENST00000310144,0.66,15.39,5.29,4.34,1.9,3.56,0.19,0.67,0.25
UBE2M,ENST00000253023,0.66,23.85,9.76,4.34,1.39,2.29,0.19,0.93,0.4
EIF4A1,ENST00000293831,0.67,1.74,0.24,4.33,3.83,4.83,0.19,0.26,0.18
GABPA,ENST00000354828,0.67,7.99,2.07,4.35,2.56,4.1,0.19,0.44,0.23
APK1,ENST00000215832,0.68,4.18,0.83,4.35,3.25,4.54,0.19,0.32,0.21
SNRPD1,ENST00000300413,0.68,28.74,12.31,4.34,1.15,2.25,0.19,1.29,0.5
TOP1,ENST00000361337,0.69,0.22,0.03,4.34,4.12,4.88,0.19,0.28,0.15
KCNA1,ENST00000382545,0.69,36.6,16.46,4.36,0.78,1.7,0.19,1.64,0.69
TARDBP,ENST00000240185,0.7,10.81,3.19,4.35,2.11,3.9,0.19,0.51,0.24
HSPA8,ENST00000534624,0.7,6.1,1.43,4.37,2.78,4.33,0.19,0.35,0.23
UBE3A,ENST00000397954,0.71,6.05,1.4,4.37,2.81,4.35,0.19,0.35,0.23
HMGB1,ENST00000405805,0.71,23.03,9.32,4.37,1.44,2.32,0.19,0.91,0.38
AGOH,ENST00000371470,0.72,23.98,9.88,4.36,1.37,2.3,0.19,0.95,0.41
UHRF2,ENST00000276893,0.72,8.46,2.27,4.36,2.52,4.06,0.19,0.46,0.23
CUL1,ENST00000325222,0.73,2.78,0.48,4.35,3.53,4.74,0.19,0.28,0.17
RPS5,ENST00000596046,0.73,13.6,4.46,4.35,2.05,3.71,0.19,0.59,0.25
RBM17,ENST00000446108,0.74,1.85,0.26,4.35,3.77,4.83,0.19,0.26,0.18
VCP,ENST00000358901,0.74,2.1,0.32,4.36,3.69,4.83,0.19,0.28,0.18
CBX1,ENST00000393408,0.75,9.56,2.63,4.36,2.49,4.01,0.19,0.5,0.23
GNAS,ENST00000371100,0.75,16.75,6,4.36,1.68,3.28,0.19,0.71,0.3
TIAL1,ENST00000369093,0.76,1.47,0.21,4.37,3.91,4.86,0.19,0.26,0.18
EIF4A3,ENST00000269349,0.76,1.73,0.26,4.37,3.84,4.84,0.19,0.26,0.18
EIF2S3,ENST00000253039,0.77,13.56,4.44,4.37,2.06,3.72,0.19,0.6,0.25
CDC73,ENST00000367435,0.77,5.39,1.21,4.36,3.05,4.42,0.19,0.33,0.21
SUMO2,ENST00000420826,0.78,22,8.72,4.36,1.48,2.51,0.19,0.81,0.37
ETS1,ENST00000392668,0.79,18.59,7.03,4.35,1.48,2.9,0.19,0.76,0.33
GABRB3,ENST00000311550,0.79,14.38,4.84,4.35,2.05,3.67,0.19,0.61,0.24
EAF6,ENST00000373075,0.8,34.03,15.17,4.37,0.82,1.83,0.19,1.55,0.64
YPEL2,ENST00000312655,0.8,15.51,5.49,4.36,1.87,3.43,0.18,0.67,0.26
GADD45G,ENST00000252506,0.81,37.97,17.25,4.36,0.77,1.64,0.18,1.71,0.74
CAMK2B,ENST00000395749,0.81,14.99,5.17,4.36,1.92,3.59,0.18,0.64,0.25
POU3F3,ENST00000361360,0.82,19.53,7.54,4.35,1.43,2.77,0.18,0.74,0.33
U2AF1,ENST00000291552,0.82,6.44,1.59,4.35,2.63,4.29,0.18,0.37,0.23
GNAL,ENST00000334049,0.83,6.19,1.5,4.35,2.73,4.34,0.18,0.35,0.22
UBE2Q1,ENST00000292211,0.83,5.56,1.27,4.34,2.99,4.38,0.18,0.33,0.21
COPS2,ENST00000299259,0.84,1.26,0.17,4.36,3.98,4.85,0.18,0.27,0.18
CSNK2A1,ENST00000217244,0.84,12.67,4.06,4.36,2.1,3.74,0.18,0.58,0.23
WBP11,ENST00000261167,0.85,3.06,0.56,4.35,3.46,4.71,0.18,0.28,0.17
PPTC7,ENST00000354300,0.85,18.14,6.84,4.35,1.53,2.94,0.18,0.74,0.33
PAX6,ENST00000419022,0.86,4.35,0.92,4.34,3.27,4.47,0.18,0.32,0.21
CTCF,ENST00000264010,0.86,2.92,0.54,4.34,3.5,4.71,0.18,0.29,0.17
HNRNPD,ENST00000313899,0.87,7.34,1.93,4.36,2.54,4.15,0.18,0.37,0.24
CNOT3,ENST00000406403,0.87,0.48,0.06,4.35,4.09,4.85,0.18,0.28,0.15
ATP1A3,ENST00000545399,0.88,0.27,0.04,4.35,4.11,4.87,0.18,0.29,0.15
EF2C,ENST00000340208,0.88,31.91,14.1,4.35,0.94,2.04,0.18,1.49,0.6
POLR2B,ENST00000381227,0.89,15.16,5.3,4.36,1.9,3.54,0.18,0.66,0.25
RPS6KA3,ENST00000379565,0.89,0.78,0.1,4.36,04.01.1900,4.89,0.18,0.27,0.17
HNRNPA3,ENST00000392524,0.9,7.64,2.01,4.36,2.49,4.12,0.18,0.42,0.23
DDX6,ENST00000264018,0.9,4.2,0.89,4.35,3.26,4.49,0.18,0.32,0.21
RAB11A,ENST00000261890,0.91,6.15,1.53,4.35,2.75,4.32,0.18,0.35,0.22
HNRNPK,ENST00000376263,0.91,0.96,0.13,4.35,4.08,4.86,0.18,0.29,0.18
PSMD14,ENST00000409682,0.92,12.36,3.96,4.34,2.06,3.76,0.18,0.59,0.23
APK14,ENST00000229795,0.92,19.11,7.39,4.34,1.49,2.8,0.18,0.76,0.34
ZBTB7A,ENST00000322357,0.93,14.19,4.83,4.36,2.06,3.67,0.18,0.6,0.24
KCNMA1,ENST00000404857,0.93,9.09,2.59,4.37,2.45,4,0.18,0.47,0.23
NR2F2,ENST00000394166,0.94,6.7,1.71,4.39,2.66,4.24,0.18,0.37,0.23
GABRB2,ENST00000274547,0.95,17.56,6.62,4.39,1.58,3,0.18,0.72,0.32
SMARCA4,ENST00000429416,0.95,0.17,0.04,4.38,4.12,4.88,0.18,0.28,0.15
EIF5A,ENST00000336452,0.96,27.13,11.66,4.38,1.23,2.21,0.18,1.14,0.47
ELAVL1,ENST00000407627,0.96,7.23,1.91,4.37,2.59,4.16,0.18,0.37,0.24
RPS15A,ENST00000322989,0.97,27.98,12.05,4.37,1.2,2.29,0.18,1.19,0.48
SNAP25,ENST00000254976,0.97,7.64,2.04,4.37,2.49,4.12,0.18,0.42,0.23
RIMS4,ENST00000541604,0.98,36.21,16.39,4.36,0.82,1.71,0.18,1.61,0.68
ARF6,ENST00000298316,0.98,36.28,16.44,4.38,0.82,1.72,0.18,1.61,0.69
SMARCA5,ENST00000283131,0.99,0.46,0.08,4.38,4.1,4.88,0.18,0.28,0.15
FZD5,ENST00000295417,0.99,10.56,3.23,4.37,2.15,3.89,0.18,0.52,0.24
AP2S1,ENST00000263270,1,24.87,10.5,4.39,1.33,2.18,0.18,1.05,0.43
WDR82,ENST00000296490,1,19.26,7.49,4.39,1.47,2.77,0.18,0.76,0.33
NUTF2,ENST00000219169,1.01,18.03,6.86,4.38,1.52,2.94,0.18,0.74,0.33
ZNF629,ENST00000262525,1.01,3.96,0.86,4.38,3.28,4.52,0.18,0.32,0.2
NAA35,ENST00000361671,1.02,2.49,0.48,4.38,3.56,4.74,0.18,0.29,0.17
ACTR2,ENST00000377982,1.02,5.68,1.38,4.37,2.96,4.36,0.18,0.34,0.23
YPEL5,ENST00000379520,1.03,43.03,20.08,4.37,0.61,1.49,0.18,1.89,0.86
SMARCB1,ENST00000263121,1.03,7.06,1.87,4.36,2.57,4.18,0.18,0.37,0.24
AHCYL1,ENST00000369799,1.04,10.62,3.26,4.36,2.14,3.89,0.18,0.51,0.24
FBXL3,ENST00000355619,1.04,11.44,3.63,4.38,2.1,3.84,0.18,0.56,0.23
SNAI2,ENST00000396822,1.05,24.14,10.14,4.37,1.35,2.24,0.18,0.99,0.41
RAB10,ENST00000264710,1.05,10.18,3.06,4.39,2.32,3.94,0.18,0.49,0.23
STAT5B,ENST00000293328,1.06,7.66,2.09,4.39,2.51,4.09,0.18,0.42,0.23
AT2A,ENST00000306434,1.06,3.35,0.71,4.4,3.44,4.59,0.18,0.28,0.2
KCNJ6,ENST00000609713,1.07,19.5,7.63,4.4,1.46,2.72,0.18,0.74,0.33
SET,ENST00000372692,1.07,4.87,1.14,4.4,3.27,4.39,0.18,0.31,0.21
EEF1A2,ENST00000217182,1.08,4.81,1.12,4.39,3.29,4.41,0.18,0.32,0.21
ATP1A1,ENST00000537345,1.08,1.92,0.36,4.39,3.75,4.8,0.18,0.26,0.18
FAM219A,ENST00000445726,1.09,45.39,21.38,4.39,0.68,1.34,0.18,1.99,0.91
ERH,ENST00000557016,1.09,19.84,7.83,4.4,1.42,2.62,0.18,0.74,0.35
WDR5,ENST00000358625,1.1,1.95,0.36,4.4,3.75,4.79,0.18,0.25,0.18
NRBP1,ENST00000233557,1.11,2.36,0.46,4.4,3.63,4.73,0.18,0.29,0.17
CREBL2,ENST00000228865,1.11,28.19,12.23,4.39,1.18,2.26,0.18,1.21,0.5
COPS4,ENST00000264389,1.12,5.37,1.29,4.41,3.06,4.37,0.18,0.32,0.21
GABRA2,ENST00000510861,1.12,7.54,2.08,4.41,2.52,4.1,0.18,0.42,0.23
NR4A2,ENST00000339562,1.13,2.24,0.43,4.4,3.65,4.76,0.18,0.3,0.17
OB4,ENST00000323303,1.13,8.05,2.27,4.4,2.53,4.06,0.17,0.44,0.23
FRG1B,ENST00000278882,1.14,52.31,24.76,4.39,0.62,1.04,0.17,1.83,1.1
XPO1,ENST00000401558,1.14,0.12,0.05,4.39,4.1,4.87,0.17,0.28,0.15
PCSK2,ENST00000262545,1.15,5.93,1.56,4.39,2.83,4.3,0.17,0.35,0.23
ELOVL6,ENST00000394607,1.15,14.66,5.18,4.38,2,3.59,0.17,0.62,0.26
DCAF7,ENST00000415273,1.16,15.07,5.43,4.38,1.9,3.44,0.17,0.65,0.26
PSMC3,ENST00000298852,1.16,14.57,5.13,4.38,2.04,3.59,0.17,0.61,0.25
DDX46,ENST00000354283,1.17,3.18,0.67,4.39,3.47,4.62,0.17,0.28,0.2
LUC7L3,ENST00000505658,1.17,0.85,0.14,4.39,4.11,4.85,0.17,0.28,0.18
UBE2E1,ENST00000306627,1.18,29.29,12.78,4.39,1.14,2.11,0.17,1.35,0.52
SUV39H2,ENST00000354919,1.18,15.72,5.7,4.4,1.87,3.31,0.17,0.69,0.28
PPP2R5E,ENST00000337537,1.19,1.17,0.22,4.4,4.02,4.85,0.17,0.28,0.18
CASK,ENST00000378166,1.19,0.42,0.09,4.39,4.13,4.87,0.17,0.28,0.16
PABPN1,ENST00000216727,1.2,28.38,12.37,4.39,1.16,2.23,0.17,1.22,0.5
PPP3R1,ENST00000234310,1.2,34.58,15.7,4.39,0.8,1.77,0.17,1.54,0.66
KLF7,ENST00000309446,1.21,9.26,2.72,4.4,2.47,4,0.17,0.46,0.23
RARG,ENST00000425354,1.21,8.32,2.43,4.4,2.52,4.02,0.17,0.45,0.23
OTUD5,ENST00000156084,1.22,4.37,1.03,4.4,3.27,4.45,0.17,0.32,0.21
STAT3,ENST00000264657,1.22,0.95,0.2,4.39,4.08,4.87,0.17,0.29,0.18
BRD4,ENST00000263377,1.23,0.09,0.05,4.39,4.13,4.86,0.17,0.27,0.15
UBE2B,ENST00000265339,1.23,39.18,18.16,4.41,0.7,1.66,0.17,1.61,0.79
GABRA1,ENST00000428797,1.24,11.67,3.81,4.42,2.1,3.78,0.17,0.57,0.24
PCGF1,ENST00000233630,1.24,4.14,0.99,4.42,3.26,4.46,0.17,0.32,0.21
PHYHIP,ENST00000454243,1.25,22.44,9.3,4.42,1.52,2.32,0.17,0.82,0.38
ARF5,ENST00000000233,1.26,14.93,5.39,4.41,1.94,3.5,0.17,0.63,0.25
SCN2A,ENST00000357398,1.26,2.31,0.51,4.41,3.64,4.71,0.17,0.29,0.17
USP46,ENST00000441222,1.27,15.42,5.63,4.4,1.89,3.38,0.17,0.67,0.27
ZBTB16,ENST00000335953,1.27,5.25,1.31,4.4,3.14,4.36,0.17,0.32,0.22
PAK3,ENST00000360648,1.28,11.61,3.8,4.4,2.1,3.78,0.17,0.57,0.24
C6orf106,ENST00000374023,1.28,13.08,4.46,4.39,2.06,3.71,0.17,0.59,0.25
SF3A3,ENST00000373019,1.29,1.72,0.37,4.39,3.84,4.79,0.17,0.26,0.18
ZRANB2,ENST00000370920,1.29,4.67,1.16,4.39,3.27,4.42,0.17,0.31,0.2
GFPT1,ENST00000357308,1.3,15.32,5.61,4.38,1.9,3.4,0.17,0.67,0.27
RBM22,ENST00000199814,1.3,2.73,0.6,4.38,3.54,4.68,0.17,0.29,0.18
KDM2A,ENST00000529006,1.31,0.07,0.07,4.38,4.12,4.87,0.17,0.27,0.15
PPP4C,ENST00000279387,1.31,20.33,8.18,4.37,1.44,2.59,0.17,0.74,0.37
HSPE1-MOB4,ENST00000604458,1.32,5.61,1.48,4.37,3,4.35,0.17,0.33,0.22
RPS6KB1,ENST00000225577,1.32,13.24,4.61,4.36,2.05,3.69,0.17,0.6,0.25
SYNCRIP,ENST00000369622,1.33,6.27,1.69,4.36,2.72,4.25,0.18,0.36,0.23
CDK8,ENST00000381527,1.33,20.14,8.09,4.36,1.43,2.58,0.18,0.75,0.37
TAOK1,ENST00000261716,1.34,6.8,1.89,4.35,2.66,4.17,0.18,0.37,0.24
CLCN4,ENST00000380833,1.34,2.87,0.64,4.35,3.51,4.65,0.18,0.28,0.19
EGR3,ENST00000317216,1.35,13.11,4.52,4.35,2.07,3.7,0.18,0.59,0.25
ZBTB20,ENST00000474710,1.35,13.16,4.53,4.34,2.06,3.7,0.18,0.6,0.25
VEZF1,ENST00000581208,1.36,8.42,2.49,4.34,2.52,4.02,0.18,0.46,0.24
CACNA1E,ENST00000367573,1.36,2.05,0.44,4.34,3.72,4.75,0.18,0.29,0.17
FAM49B,ENST00000519824,1.37,12.89,4.4,4.33,2.07,3.72,0.18,0.59,0.24
MP16,ENST00000286614,1.37,13.29,4.67,4.33,2.05,3.69,0.18,0.6,0.25
CUL5,ENST00000393094,1.38,3.45,0.81,4.33,3.4,4.55,0.19,0.29,0.21
DDX5,ENST00000225792,1.38,0.97,0.23,4.32,4.09,4.84,0.19,0.29,0.18
THAP11,ENST00000303596,1.39,22.09,9.15,4.32,1.49,2.34,0.19,0.83,0.38
ZNF367,ENST00000375256,1.39,18.27,7.22,4.32,1.48,2.81,0.19,0.74,0.34
BCL2L2-PABPN1,ENST00000557008,1.4,26.95,11.78,4.31,1.23,2.21,0.19,1.12,0.46
PRMT8,ENST00000382622,1.4,7.31,2.1,4.31,2.57,4.1,0.2,0.37,0.23
FEZF2,ENST00000283268,1.41,7.72,2.26,4.31,2.53,4.06,0.2,0.43,0.23
PPP2R2A,ENST00000315985,1.42,9.43,2.84,4.32,2.47,4.02,0.2,0.49,0.23
SMARCA2,ENST00000382203,1.42,5.19,1.32,4.32,3.19,4.35,0.2,0.32,0.22
GABPB1,ENST00000220429,1.43,12.85,4.42,4.31,2.07,3.72,0.2,0.59,0.25
APK8,ENST00000374189,1.43,6.23,1.7,4.31,2.73,4.25,0.2,0.36,0.23
